1 347 61.4259 1.30566 406.704 0.749869 143.586
1 384 331.78 1.25216 416.008 0.736508 153.671
1 385 117.793 1.30176 406.893 0.75097 144.602
3 235 157.327 1.85156 400.101 1.13946 44.6253
3 324 224.082 1.625 408.997 -3.01002 106.757
6 240 44.4329 3.22705 400.903 1.96054 37.144
7 334 353.94 1.57801 412.791 -1.26231 93.0318
7 348 247.642 1.22589 418.768 0.918678 128.301
11 271 93.1957 1.6607 401.633 0.860777 64.2649
13 75 93.6458 1.63281 401.056 -0.0983852 -125.238
13 205 510.999 1.40806 411.516 2.40811 -7.47799
14 378 510.999 1.36358 408.606 -0.363469 122.48
18 121 184.742 1.25077 407.882 1.1953 -77.6708
18 189 305.404 1.48514 407.019 -0.181146 -27.2684
20 174 72.0335 2.64789 400.596 -2.64159 -29.8399
20 197 338.39 1.12561 403.429 1.1155 10.8491
21 312 510.999 1.17578 407.544 1.2686 87.1346
22 94 510.999 1.54492 400.232 3.00048 -101.06
22 267 510.999 1.22023 416.966 0.136074 70.7131
24 113 331.315 1.30371 400.173 -0.148509 -110.942
24 164 510.999 1.30437 406.987 2.00492 -37.9817
25 406 367.344 1.82422 403.108 -1.94356 174.027
26 110 510.999 1.39648 400.871 -0.725341 -80.227
26 278 510.999 1.28516 401.64 2.04796 73.4566
27 157 153.83 1.22852 401.395 0.777689 -37.8514
28 186 198.041 1.39453 409.937 -0.724481 -21.4668
28 224 299.458 1.41406 412.004 -0.72514 -15.7733
28 316 510.999 1.35966 412.46 2.03282 109.131
30 148 189.771 1.45243 404.216 -0.732563 -54.2477
31 235 510.999 1.1631 417.622 1.16259 41.761
33 86 510.999 1.25149 403.5 1.71052 -111.001
34 3 438.397 1.26812 408.873 0.518524 -154.661
35 370 176.307 1.73693 401.734 -1.6607 126.747
36 18 510.999 1.62832 409.679 2.96633 -166.274
39 142 290.394 1.64795 409.696 -1.7221 -54.7953
44 262 392.253 1.47635 415.163 -0.630954 46.0992
44 391 471.935 1.37633 411.223 1.85546 165.979
47 11 142.803 1.53711 400.34 1.80945 -164.971
47 193 131.681 1.72754 400.5 0.544158 10.0589
50 269 386.427 1.17242 413.285 0.565035 53.3643
51 304 230.757 1.56354 401.051 0.0549215 95.128
54 184 278.642 1.55078 405.745 -0.922256 -33.3316
54 292 314.681 1.71918 412.415 -2.03919 61.8344
58 1 85.5967 1.5706 400.669 0.129043 -157.745
